ID,SMILES,Monoisotopic_Mass,InChI_Key
C00078,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,507.9797610499998,HAEJPQIATWHALX-KQYNXXCUSA-N
C00079,N[C@@H](Cc1ccc(O)cc1)C(=O)O,181.073893212,OUYCCCASQSFEME-QMMMGPOBSA-N
C00080,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)O,853.1156028860003,LTYOQGRJFJAKNA-DVVLENMVSA-N
C00081,CC=O,44.026214748,IKHGUXGNUITLKF-UHFFFAOYSA-N
C00082,O=P(O)(O)OC[C@H]1OC(O)(CO)[C@@H](O)[C@@H]1O,260.02971862600003,BGWGXPAPYGQALX-VRPWFDPXSA-N
C00083,NC(N)=O,60.032362748,XSQUKJJJFZCRTK-UHFFFAOYSA-N
C00084,[S],31.972071,NINIDFKCEFEMDL-UHFFFAOYSA-N
C00085,O=NO,47.000728272,IOVCWXUNBOPUCH-UHFFFAOYSA-N
C00086,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,342.11621152399994,CZMRCDWAGMRECN-UGDNZRGBSA-N
C00087,Oc1ccccc1O,110.036779432,YCIMNLLNPGFGHC-UHFFFAOYSA-N
C00088,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCC(=O)O,867.1312529500002,VNOYUJKHFWYWIR-ITIYDSSPSA-N
C00089,O=P(O)(O)OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,260.02971862600003,NBSCHQHZLSJFNQ-GASJEMHNSA-N
C00090,O=P(O)(O)OC[C@H](O)CO,172.013674638,AWUCVROLDVIAJX-GSVOUGTGSA-N
C00091,O=S(O)O,81.97246492400001,LSNNMFCWUKXFEE-UHFFFAOYSA-N
C00092,OC[C@H]1OC(O)(CO)[C@@H](O)[C@@H]1O,180.063388104,RFSUNEUAIZKAJO-VRPWFDPXSA-N
C00093,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1,605.0771529799998,MVMSCBBUIHUTGJ-GDJBGNAASA-N
C00094,N[C@@H](CS)C(=O)O,121.019749464,XUJNEKJLAYXESH-REOHCLBHSA-N
C00095,*C(N)C(=O)NC(*)C(=O)O,,
C00096,NCCC(=O)O,89.047678464,UCMIRNVEIXFBKS-UHFFFAOYSA-N
C00097,CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,823.1414237099998,QAQREVBBADEHPA-IEXPHMLFSA-N
C00098,Nc1nc2c(c(=O)[nH]1)N[C@@H](CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)CN2,445.17098145599994,MSTNYGQPCMXVAQ-RYUDHWBXSA-N
C00099,O=C1C(Cl)=CC(=Nc2ccc(O)cc2)C=C1Cl,266.98538382400005,CCBICDLNWJRFPO-UHFFFAOYSA-N
C00100,O=P(O)(O)O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,260.02971862600003,HXXFSFRBOHSIMQ-VFUOTHLCSA-N
C00101,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,428.01343052799984,JPXZQMKKFWMMGK-KQYNXXCUSA-N
C00102,O=c1ccn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,324.03586662600003,DJJCXFVJDGTHFX-XVFCMESISA-N
C00103,O=c1cc[nH]c(=O)[nH]1,112.027277368,ISAKRJDGNUQOIC-UHFFFAOYSA-N
C00104,*C(N)C(=O)NC(*)C(=O)O,,
C00105,Nc1ccccc1C(=O)O,137.047678464,RWZYAGGXGHYGMB-UHFFFAOYSA-N
C00106,CCC(=O)C(=O)O,102.031694052,TYEYBOSBBBHJIV-UHFFFAOYSA-N
C00107,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C\CCC(C)CCOP(=O)(O)O,440.3055465499999,GYBNOAFGEKAZTA-QOLULZROSA-N
C00108,O=C(CO)COP(=O)(O)O,169.998024574,GNGACRATGGDKBX-UHFFFAOYSA-N
C00109,Nc1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1,403.0181815599999,ZWIADYZPOWUWEW-XVFCMESISA-N
C00110,O=C(O)c1cc(C(=O)O)c2c(n1)C(=O)C(=O)c1cc(C(=O)O)[nH]c1-2,330.012415152,MMXZSJMASHPLLR-UHFFFAOYSA-N
C00111,C[N+](C)(C)CCO,104.10699048808999,OEYIOHPDSNJKLS-UHFFFAOYSA-N
C00112,OCC(O)CO,92.047344116,PEDCQBHIVMGVHV-UHFFFAOYSA-N
C00113,O=P(O)(O)OC[C@H]1OC(O)[C@H](O)[C@@H]1O,230.019153942,KTVPXOYAKDPRHY-SOOFDHNKSA-N
C00114,O=C[C@H](O)COP(=O)(O)O,169.998024574,LXJXRIRHZLFYRP-VKHMYHEASA-N
C00116,O=P(O)(O)OC[C@H]1O[C@H](OP(=O)(O)OP(=O)(O)O)[C@H](O)[C@@H]1O,389.9518149859999,PQGCEDQWHSBAJP-TXICZTDVSA-N
C00117,O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12,244.088163372,YBJHBAHKTGYVGT-ZKWXMUAHSA-N
C00118,OC[C@H]1OC(O)[C@H](O)[C@@H]1O,150.05282342,HMFHBZSHGGEWLO-SOOFDHNKSA-N
C00119,O=C(O)/C=C/C(=O)O,116.01095860800001,VZCYOOQTPOCHFL-OWOJBTEDSA-N
C00120,CC(C)C[C@H](N)C(=O)O,131.094628656,ROHFNLRQFUQHCH-YFKPBYRVSA-N
C00121,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O,180.063388104,WQZGKKKJIJFFOK-SVZMEOIVSA-N
